Precinct,Adrian Perkins (DEM),Ollie S. Tyler (DEM),Total
00 001,61,42,103
00 002,281,115,396
00 003,105,129,234
00 004,241,170,411
00 005 A,147,154,301
00 005 B,140,141,281
00 006,22,24,46
00 007,88,72,160
00 008,206,82,288
00 009,167,54,221
00 010,257,50,307
00 011,350,86,436
00 012,257,61,318
00 013,438,97,535
00 014,179,45,224
00 015,167,86,253
00 016,299,89,388
00 017,144,75,219
00 020,225,62,287
00 021,271,41,312
00 022,395,95,490
00 023,100,92,192
00 024,269,60,329
00 025,173,133,306
00 026,196,39,235
00 027,169,69,238
00 028,9,5,14
00 029,92,116,208
00 030,242,278,520
00 031,103,113,216
00 032,84,90,174
00 034,170,156,326
00 035,96,82,178
00 036,165,126,291
00 037,106,92,198
00 038,128,113,241
00 039,68,70,138
00 040,66,61,127
00 041,53,73,126
00 043,81,54,135
00 044,82,110,192
00 045,191,185,376
00 046,106,105,211
00 047,260,126,386
00 048,248,66,314
00 049 A,232,67,299
00 049 B,216,78,294
00 050,155,163,318
00 051,194,188,382
00 052,150,100,250
00 053,118,82,200
00 054,142,178,320
00 055,97,80,177
00 056,301,110,411
00 057,95,113,208
00 058,131,115,246
00 059,132,140,272
00 060,125,112,237
00 061,133,120,253
00 062,239,147,386
00 063,113,74,187
00 064,132,92,224
00 065,134,67,201
00 067,80,85,165
00 068,306,89,395
00 069,178,133,311
00 070,216,210,426
00 071,81,101,182
00 072,189,46,235
00 073,203,228,431
00 074,41,51,92
00 075,394,135,529
00 076,191,66,257
00 077,323,89,412
00 078,80,50,130
00 079,136,81,217
00 080,83,129,212
00 081,146,139,285
00 082,185,112,297
00 083,155,132,287
00 084,279,237,516
00 085,190,137,327
00 086,135,175,310
00 087,188,126,314
00 088,217,93,310
00 089,215,99,314
00 090 A,155,79,234
00 090 B,143,77,220
00 091 A,148,66,214
00 091 B,142,75,217
00 092,185,126,311
00 093,176,97,273
00 094,259,144,403
00 095,194,131,325
00 097,87,44,131
00 098,86,37,123
00 099,61,49,110
00 100,199,125,324
00 101,186,68,254
00 102,185,62,247
00 103,260,182,442
00 104,362,69,431
00 106,41,50,91
00 107,45,16,61
00 108,172,45,217
00 109,409,106,515
00 110,320,84,404
00 111,58,98,156
00 112,204,49,253
00 113,196,75,271
00 114,157,98,255
00 115,488,139,627
00 122 A,102,91,193
00 122 B,101,93,194
00 123,0,0,0
00 125,0,0,0
00 126,7,2,9
00 128,570,128,698
00 129,218,82,300
00 135,0,0,0
00 137,27,6,33
00 163,18,2,20
Early Voting,4344,2316,6660
,,Grand Total:,38916
